Code INSEE,Code Postal,Commune,Département,Région,Statut,Altitude Moyenne,Superficie,Population,geo_point_2d,geo_shape,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région,geometry
59447,59264,ONNAING,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],30.0,1299.0,8.7,"50.3867147722597, 3.5966840108334903","{""coordinates"": [[[3.61568058447275, 50.362134046274114], [3.596646568405728, 50.365495505303855], [3.581086556686973, 50.379431562509154], [3.564564056469455, 50.40476223008928], [3.573903894099898, 50.4058772898877], [3.5803915968805002, 50.410578085822614], [3.588742697740562, 50.409910159593565], [3.60859968348395, 50.404633956802286], [3.603941798380827, 50.402762561254704], [3.6045178669194833, 50.39925850556916], [3.614078208979865, 50.39079932424252], [3.618040851406914, 50.380679604604794], [3.6297422538358273, 50.37326761968646], [3.61568058447275, 50.362134046274114]]], ""type"": ""Polygon""}",22370,447,65,6,59,31,"POLYGON ((3.61568058447275 50.362134046274114, 3.596646568405728 50.365495505303855, 3.581086556686973 50.379431562509154, 3.564564056469455 50.40476223008928, 3.573903894099898 50.4058772898877, 3.5803915968805002 50.410578085822614, 3.588742697740562 50.409910159593565, 3.60859968348395 50.404633956802286, 3.603941798380827 50.402762561254704, 3.6045178669194833 50.39925850556916, 3.614078208979865 50.39079932424252, 3.618040851406914 50.380679604604794, 3.6297422538358273 50.37326761968646, 3.61568058447275 50.362134046274114))"
59322,59141,IWUY,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],56.0,1267.0,3.2,"50.23359842196871, 3.336233474537874","{""coordinates"": [[[3.362477083190853, 50.21760992726481], [3.357668799809525, 50.21845012030963], [3.345611893627648, 50.213294343700156], [3.326566199424126, 50.21540270069508], [3.323149347537741, 50.21943458295975], [3.316706573474216, 50.23207650811634], [3.309484950056565, 50.23694374671249], [3.305285504342477, 50.24168633914359], [3.304718997770477, 50.24992171673923], [3.314344252717887, 50.248424932111455], [3.333138477943295, 50.255082979814304], [3.346967686139064, 50.249845844568206], [3.348911560715072, 50.24336630346203], [3.357325339685743, 50.23920270182186], [3.361791511145062, 50.22939311282803], [3.369371919710478, 50.22465635628711], [3.362477083190853, 50.21760992726481]]], ""type"": ""Polygon""}",15005,322,13,2,59,31,"POLYGON ((3.362477083190853 50.21760992726481, 3.357668799809525 50.21845012030963, 3.345611893627648 50.213294343700156, 3.326566199424126 50.21540270069508, 3.323149347537741 50.21943458295975, 3.316706573474216 50.23207650811634, 3.309484950056565 50.23694374671249, 3.305285504342477 50.24168633914359, 3.304718997770477 50.24992171673923, 3.314344252717887 50.248424932111455, 3.333138477943295 50.255082979814304, 3.346967686139064 50.249845844568206, 3.348911560715072 50.24336630346203, 3.357325339685743 50.23920270182186, 3.361791511145062 50.22939311282803, 3.369371919710478 50.22465635628711, 3.362477083190853 50.21760992726481))"
62230,62142,COLEMBERT,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],100.0,1001.0,0.7000000000000001,"50.74984951120462, 1.827282115563051","{""coordinates"": [[[1.843950518814927, 50.73723683935819], [1.838870120661452, 50.73800615199909], [1.831282839689601, 50.73347509544184], [1.815799838677943, 50.7346478541191], [1.803098351474212, 50.74484627140457], [1.8051446678419532, 50.75392941693149], [1.7954579276682852, 50.75379118045688], [1.7883938988945831, 50.74932548229792], [1.786228764110823, 50.75111708557276], [1.7858896090136511, 50.754021267184], [1.798697947623519, 50.762024399582316], [1.808041798659312, 50.75880296247164], [1.8494212308494742, 50.7631855232107], [1.8575049777624542, 50.759248820476564], [1.8610471632672692, 50.754659903979885], [1.843950518814927, 50.73723683935819]]], ""type"": ""Polygon""}",15380,230,21,3,62,31,"POLYGON ((1.843950518814927 50.73723683935819, 1.838870120661452 50.73800615199909, 1.831282839689601 50.73347509544184, 1.815799838677943 50.7346478541191, 1.803098351474212 50.74484627140457, 1.8051446678419532 50.75392941693149, 1.7954579276682852 50.75379118045688, 1.7883938988945831 50.74932548229792, 1.786228764110823 50.75111708557276, 1.7858896090136511 50.754021267184, 1.798697947623519 50.762024399582316, 1.808041798659312 50.75880296247164, 1.8494212308494742 50.7631855232107, 1.8575049777624542 50.759248820476564, 1.8610471632672692 50.754659903979885, 1.843950518814927 50.73723683935819))"
62774,62231,SANGATTE,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],28.0,1432.0,4.7,"50.9410415452983, 1.7695835661726131","{""coordinates"": [[[1.70586213441563, 50.92380377015203], [1.725162118140058, 50.93620329788115], [1.744017415765926, 50.943517382304464], [1.779109417466625, 50.95437915303066], [1.8284464492269832, 50.96240468406059], [1.82637105014804, 50.95582757051161], [1.805657470898573, 50.94536862211059], [1.790313065050762, 50.94511339324785], [1.791058054753456, 50.93546767722242], [1.782171198467236, 50.927872437401554], [1.7358298135600432, 50.92647908550331], [1.70586213441563, 50.92380377015203]]], ""type"": ""Polygon""}",27653,774,15,6,62,31,"POLYGON ((1.70586213441563 50.92380377015203, 1.725162118140058 50.93620329788115, 1.744017415765926 50.943517382304464, 1.779109417466625 50.95437915303066, 1.8284464492269832 50.96240468406059, 1.82637105014804 50.95582757051161, 1.805657470898573 50.94536862211059, 1.790313065050762 50.94511339324785, 1.791058054753456 50.93546767722242, 1.782171198467236 50.927872437401554, 1.7358298135600432 50.92647908550331, 1.70586213441563 50.92380377015203))"
62622,62890,NORT-LEULINGHEM,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],72.0,351.0,0.2,"50.79599792950787, 2.088809389815283","{""coordinates"": [[[2.077248935953199, 50.785567921140384], [2.072739519813044, 50.78678165580982], [2.072768530639522, 50.79285644572924], [2.081129237484227, 50.8031920896053], [2.101023281359692, 50.805544454336854], [2.106673605009719, 50.80075785519644], [2.100760934643238, 50.79177855513772], [2.077248935953199, 50.785567921140384]]], ""type"": ""Polygon""}",30861,622,2,5,62,31,"POLYGON ((2.077248935953199 50.785567921140384, 2.072739519813044 50.78678165580982, 2.072768530639522 50.79285644572924, 2.081129237484227 50.8031920896053, 2.101023281359692 50.805544454336854, 2.106673605009719 50.80075785519644, 2.100760934643238 50.79177855513772, 2.077248935953199 50.785567921140384))"
62663,62760,POMMERA,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],153.0,438.0,0.3,"50.16749670002988, 2.442517873137166","{""coordinates"": [[[2.438937811297456, 50.15291716210276], [2.437684990006403, 50.154976954055336], [2.430692383019302, 50.17025637043296], [2.425527389924692, 50.175692364490374], [2.420854972755227, 50.17463771314614], [2.440324537157022, 50.18052012915259], [2.4508207954235592, 50.17851996944953], [2.449191578144494, 50.17530673957389], [2.458756134401415, 50.15958872609733], [2.454552351010886, 50.157926721738995], [2.438937811297456, 50.15291716210276]]], ""type"": ""Polygon""}",3443,663,40,1,62,31,"POLYGON ((2.438937811297456 50.15291716210276, 2.437684990006403 50.154976954055336, 2.430692383019302 50.17025637043296, 2.425527389924692 50.175692364490374, 2.420854972755227 50.17463771314614, 2.440324537157022 50.18052012915259, 2.4508207954235592 50.17851996944953, 2.449191578144494 50.17530673957389, 2.458756134401415 50.15958872609733, 2.454552351010886 50.157926721738995, 2.438937811297456 50.15291716210276))"
59267,59231,GONNELIEU,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],124.0,496.0,0.3,"50.05974016099314, 3.15907798363416","{""coordinates"": [[[3.136596886986488, 50.049593151052974], [3.1410867901293242, 50.05910841972755], [3.153953097858274, 50.06945742551283], [3.167552097338962, 50.07185557104512], [3.175257222771809, 50.06844987895248], [3.176653076530893, 50.05253283357488], [3.136596886986488, 50.049593151052974]]], ""type"": ""Polygon""}",25818,267,43,2,59,31,"POLYGON ((3.136596886986488 50.049593151052974, 3.1410867901293242 50.05910841972755, 3.153953097858274 50.06945742551283, 3.167552097338962 50.07185557104512, 3.175257222771809 50.06844987895248, 3.176653076530893 50.05253283357488, 3.136596886986488 50.049593151052974))"
62583,62760,MONDICOURT,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],153.0,505.0,0.6000000000000001,"50.17420143986442, 2.467254383428865","{""coordinates"": [[[2.458756134401415, 50.15958872609733], [2.449191578144494, 50.17530673957389], [2.4508207954235592, 50.17851996944953], [2.4738874915476092, 50.18865163585386], [2.480416927372193, 50.1834350169082], [2.484812375115566, 50.166525782814006], [2.480266113246245, 50.16813208387254], [2.458756134401415, 50.15958872609733]]], ""type"": ""Polygon""}",23713,583,40,1,62,31,"POLYGON ((2.458756134401415 50.15958872609733, 2.449191578144494 50.17530673957389, 2.4508207954235592 50.17851996944953, 2.4738874915476092 50.18865163585386, 2.480416927372193 50.1834350169082, 2.484812375115566 50.166525782814006, 2.480266113246245 50.16813208387254, 2.458756134401415 50.15958872609733))"
62069,62310,AZINCOURT,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],122.0,861.0,0.3,"50.45889715108409, 2.117165591115971","{""coordinates"": [[[2.088417462840784, 50.43647194175986], [2.085045518655029, 50.43870934056291], [2.088291472960642, 50.44810565594624], [2.100728333056434, 50.453951122032436], [2.108242868555978, 50.47269576088251], [2.113783595595885, 50.47597623545421], [2.120273603115791, 50.472467696150524], [2.137864031796135, 50.47778014850942], [2.145750172317096, 50.47729623350751], [2.141542961918973, 50.46827227040079], [2.146182778573529, 50.46255911202136], [2.130614743092203, 50.45520616878462], [2.131426864357632, 50.452141690108554], [2.088417462840784, 50.43647194175986]]], ""type"": ""Polygon""}",18340,69,39,4,62,31,"POLYGON ((2.088417462840784 50.43647194175986, 2.085045518655029 50.43870934056291, 2.088291472960642 50.44810565594624, 2.100728333056434 50.453951122032436, 2.108242868555978 50.47269576088251, 2.113783595595885 50.47597623545421, 2.120273603115791 50.472467696150524, 2.137864031796135 50.47778014850942, 2.145750172317096 50.47729623350751, 2.141542961918973 50.46827227040079, 2.146182778573529 50.46255911202136, 2.130614743092203 50.45520616878462, 2.131426864357632 50.452141690108554, 2.088417462840784 50.43647194175986))"
62720,62120,ROMBLY,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],37.0,117.0,0.0,"50.595180553415005, 2.389849571969511","{""coordinates"": [[[2.389384362928383, 50.58747180986163], [2.380763706461987, 50.59717601757289], [2.387519602731146, 50.60167012632805], [2.4000544736908083, 50.5959155813842], [2.389384362928383, 50.58747180986163]]], ""type"": ""Polygon""}",27323,720,38,2,62,31,"POLYGON ((2.389384362928383 50.58747180986163, 2.380763706461987 50.59717601757289, 2.387519602731146 50.60167012632805, 2.4000544736908083 50.5959155813842, 2.389384362928383 50.58747180986163))"
62735,62113,SAILLY-LABOURSE,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],28.0,611.0,2.1,"50.501663993038356, 2.702735808006962","{""coordinates"": [[[2.703599907894537, 50.479405154303834], [2.698530590930391, 50.48024566043016], [2.687764723159236, 50.505872865573906], [2.6871530111197863, 50.50918346050781], [2.694148919834223, 50.51377866365013], [2.713378597144881, 50.51865367782439], [2.719059282520432, 50.50981647010848], [2.704748893993237, 50.484982185844544], [2.708672952634297, 50.48275639107827], [2.703599907894537, 50.479405154303834]]], ""type"": ""Polygon""}",34137,735,57,2,62,31,"POLYGON ((2.703599907894537 50.479405154303834, 2.698530590930391 50.48024566043016, 2.687764723159236 50.505872865573906, 2.6871530111197863 50.50918346050781, 2.694148919834223 50.51377866365013, 2.713378597144881 50.51865367782439, 2.719059282520432 50.50981647010848, 2.704748893993237 50.484982185844544, 2.708672952634297 50.48275639107827, 2.703599907894537 50.479405154303834))"
62639,62580,OPPY,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],60.0,491.0,0.4,"50.34716760361234, 2.88887974402467","{""coordinates"": [[[2.907921601600547, 50.337222100323224], [2.903069713792163, 50.33632057594907], [2.896062354476775, 50.34002281119108], [2.872302107582528, 50.338375479940346], [2.867379682368428, 50.34851542904841], [2.887027826573209, 50.3589044211968], [2.890012977884329, 50.36076552072182], [2.897777858011148, 50.35884196972272], [2.90133322084605, 50.349193658142795], [2.9130810900749573, 50.338814960058755], [2.907921601600547, 50.337222100323224]]], ""type"": ""Polygon""}",32692,639,45,1,62,31,"POLYGON ((2.907921601600547 50.337222100323224, 2.903069713792163 50.33632057594907, 2.896062354476775 50.34002281119108, 2.872302107582528 50.338375479940346, 2.867379682368428 50.34851542904841, 2.887027826573209 50.3589044211968, 2.890012977884329 50.36076552072182, 2.897777858011148 50.35884196972272, 2.90133322084605 50.349193658142795, 2.9130810900749573 50.338814960058755, 2.907921601600547 50.337222100323224))"
59616,59690,VIEUX-CONDE,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],29.0,1110.0,10.5,"50.47356386511633, 3.566067345649642","{""coordinates"": [[[3.582775133878591, 50.44544319212683], [3.568740169866742, 50.45374034818522], [3.555532128799074, 50.45327074780936], [3.5383573156982333, 50.460510165419294], [3.543780409553065, 50.46004658385363], [3.551234765718392, 50.4691698074015], [3.550391336282264, 50.4795145593107], [3.555214742757793, 50.485731650202354], [3.5527428446772813, 50.49253782857759], [3.558619536374239, 50.49841784924153], [3.568602391797838, 50.50011379331048], [3.583316429577356, 50.49101516548386], [3.579863219279867, 50.47706402003723], [3.582775133878591, 50.44544319212683]]], ""type"": ""Polygon""}",18256,616,19,6,59,31,"POLYGON ((3.582775133878591 50.44544319212683, 3.568740169866742 50.45374034818522, 3.555532128799074 50.45327074780936, 3.5383573156982333 50.460510165419294, 3.543780409553065 50.46004658385363, 3.551234765718392 50.4691698074015, 3.550391336282264 50.4795145593107, 3.555214742757793 50.485731650202354, 3.5527428446772813 50.49253782857759, 3.558619536374239 50.49841784924153, 3.568602391797838 50.50011379331048, 3.583316429577356 50.49101516548386, 3.579863219279867 50.47706402003723, 3.582775133878591 50.44544319212683))"
62446,62360,HESDIGNEUL-LES-BOULOGNE,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],28.0,332.0,0.7000000000000001,"50.65235969456537, 1.677686187733899","{""coordinates"": [[[1.689115252168033, 50.63941135419107], [1.687194852399019, 50.63944491620269], [1.656374373454932, 50.65983033410871], [1.6588298939103332, 50.66674980145803], [1.660397062004179, 50.66358951027407], [1.692393340706001, 50.653905172400385], [1.694053277665743, 50.64491144955491], [1.689115252168033, 50.63941135419107]]], ""type"": ""Polygon""}",17634,446,44,3,62,31,"POLYGON ((1.689115252168033 50.63941135419107, 1.687194852399019 50.63944491620269, 1.656374373454932 50.65983033410871, 1.6588298939103332 50.66674980145803, 1.660397062004179 50.66358951027407, 1.692393340706001 50.653905172400385, 1.694053277665743 50.64491144955491, 1.689115252168033 50.63941135419107))"
59659,59212,WIGNEHIES,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],193.0,1398.0,3.1,"50.011804477792964, 4.006573650601997","{""coordinates"": [[[4.021562585939202, 49.986119450345825], [4.011404669512496, 49.9860510557216], [4.005733861178816, 49.99519744602693], [3.980801470620348, 49.99357611735628], [3.9801437595485503, 50.00356125282616], [3.9952363001005153, 50.02844714194484], [3.989547240115692, 50.041346988385285], [4.026844820453538, 50.029039748442145], [4.028339220342684, 50.00570829487082], [4.021562585939202, 49.986119450345825]]], ""type"": ""Polygon""}",25552,659,64,1,59,31,"POLYGON ((4.021562585939202 49.986119450345825, 4.011404669512496 49.9860510557216, 4.005733861178816 49.99519744602693, 3.980801470620348 49.99357611735628, 3.9801437595485503 50.00356125282616, 3.9952363001005153 50.02844714194484, 3.989547240115692 50.041346988385285, 4.026844820453538 50.029039748442145, 4.028339220342684 50.00570829487082, 4.021562585939202 49.986119450345825))"
