cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE2122515A,59052,Bauvin,59.0,Sécheresse,2020-04-01,2020-09-30,2021-07-27,2021-08-31,2022-05-24
INTE0200208A,59053,Bavay,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-27,2002-04-30,2002-05-05,2022-05-24
IOME2308745A,59054,Bavinchove,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
IOME2330533A,59054,Bavinchove,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-13,2023-11-14,
IOME2333648A,59054,Bavinchove,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE0100649A,59055,Bazuel,61.0,Inondations remontée nappe,2001-03-24,2001-03-25,2001-11-15,2001-12-01,2022-05-24
INTE0200563A,59057,Beaudignies,61.0,Inondations remontée nappe,2002-02-13,2002-02-21,2002-10-29,2002-11-09,2022-05-24
INTE0200700A,59057,Beaudignies,54.0,Inondations et/ou coulées de boue,2002-02-13,2002-02-14,2003-01-17,2003-01-24,2022-05-24
INTE1907677A,59057,Beaudignies,54.0,Inondations et/ou coulées de boue,2018-05-29,2018-05-29,2019-03-19,2019-04-07,2022-05-24
INTE1630434A,59062,Beaurieux,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
IOCE0815767A,59062,Beaurieux,54.0,Inondations et/ou coulées de boue,2008-03-11,2008-03-11,2008-06-26,2008-07-05,2022-05-24
INTE1824834A,59064,Bellaing,59.0,Sécheresse,2017-07-01,2017-12-31,2018-09-18,2018-10-20,2022-05-24
INTE1824834A,59065,Bellignies,59.0,Sécheresse,2017-01-01,2017-12-31,2018-09-18,2018-10-20,2022-05-24
IOME2308745A,59065,Bellignies,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
IOCE1032143A,59067,Bergues,59.0,Sécheresse,2009-07-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2324730A,59067,Bergues,59.0,Sécheresse,2022-06-30,2022-09-29,2023-09-18,2023-10-19,
INTE1920338A,59068,Berlaimont,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
IOCE1027783A,59068,Berlaimont,54.0,Inondations et/ou coulées de boue,2010-07-14,2010-07-14,2010-10-29,2010-11-03,2022-05-24
INTE0500890A,59071,Bersée,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
