cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9900627A,59620,Villers-au-tertre,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0700035A,59622,Villers-en-cauchies,54.0,Inondations et/ou coulées de boue,2006-06-13,2006-06-13,2007-01-15,2007-01-25,2022-05-24
INTE9200181A,59622,Villers-en-cauchies,54.0,Inondations et/ou coulées de boue,1991-07-07,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9300513A,59622,Villers-en-cauchies,54.0,Inondations et/ou coulées de boue,1993-05-11,1993-05-11,1993-09-28,1993-10-10,2022-05-20
INTE9900627A,59622,Villers-en-cauchies,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1525241A,59623,Villers-guislain,54.0,Inondations et/ou coulées de boue,2015-06-05,2015-06-05,2015-10-28,2015-10-29,2022-05-24
INTE9900627A,59623,Villers-guislain,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
NOR19870309,59623,Villers-guislain,54.0,Inondations et/ou coulées de boue,1986-06-22,1986-06-22,1987-03-09,1987-03-21,2022-05-20
INTE1616446A,59624,Villers-outréaux,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE9900627A,59624,Villers-outréaux,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9900627A,59625,Villers-plouich,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0826373A,59625,Villers-plouich,54.0,Inondations et/ou coulées de boue,2008-09-11,2008-09-11,2008-11-05,2008-11-07,2022-05-24
NOR19870309,59625,Villers-plouich,54.0,Inondations et/ou coulées de boue,1986-06-22,1986-06-22,1987-03-09,1987-03-21,2022-05-20
INTE0200389A,59626,Villers-pol,54.0,Inondations et/ou coulées de boue,2002-02-12,2002-02-13,2002-08-01,2002-08-22,2022-05-24
INTE9400004A,59626,Villers-pol,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9900627A,59626,Villers-pol,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0200208A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-28,2002-04-30,2002-05-05,2022-05-24
INTE1630434A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE9400004A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9500497A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,1995-07-02,1995-07-02,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0823835A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,2008-06-02,2008-06-02,2008-10-07,2008-10-10,2022-05-24
IOCE1027783A,59627,Villers-sire-nicole,54.0,Inondations et/ou coulées de boue,2010-07-14,2010-07-14,2010-10-29,2010-11-03,2022-05-24
INTE2204344A,59628,Volckerinckhove,54.0,Inondations et/ou coulées de boue,2021-11-27,2021-11-29,2022-02-09,2022-02-13,2022-05-24
INTE9400004A,59628,Volckerinckhove,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9900627A,59628,Volckerinckhove,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOME2330533A,59628,Volckerinckhove,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-13,2023-11-14,
IOME2333648A,59628,Volckerinckhove,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE9200181A,59629,Vred,54.0,Inondations et/ou coulées de boue,1991-07-06,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9900627A,59629,Vred,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
NOR19831005,59629,Vred,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
INTE0000626A,59630,Wahagnies,54.0,Inondations et/ou coulées de boue,2000-07-29,2000-07-29,2000-11-06,2000-11-22,2022-05-24
INTE0500890A,59630,Wahagnies,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE9900627A,59630,Wahagnies,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE9500497A,59631,Walincourt-selvigny,54.0,Inondations et/ou coulées de boue,1995-07-10,1995-07-12,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59631,Walincourt-selvigny,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1820387A,59632,Wallers,54.0,Inondations et/ou coulées de boue,2018-05-22,2018-05-22,2018-07-23,2018-08-15,2022-05-24
INTE1824833A,59632,Wallers,54.0,Inondations et/ou coulées de boue,2018-05-28,2018-05-29,2018-09-17,2018-10-20,2022-05-24
INTE1826529A,59632,Wallers,54.0,Inondations et/ou coulées de boue,2018-07-04,2018-07-04,2018-10-04,2018-11-03,2022-05-24
INTE9200181A,59632,Wallers,54.0,Inondations et/ou coulées de boue,1991-07-07,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9400004A,59632,Wallers,54.0,Inondations et/ou coulées de boue,1993-12-19,1994-01-02,1994-01-11,1994-01-15,2022-05-20
INTE9900627A,59632,Wallers,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE1210036A,59632,Wallers,61.0,Inondations remontée nappe,2010-11-13,2010-11-15,2012-04-05,2012-04-07,2022-05-24
INTE9900627A,59633,Wallers-en-fagne,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0000364A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,2000-05-09,2000-05-09,2000-07-21,2000-08-01,2022-05-24
INTE1422767A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,2014-07-27,2014-07-27,2014-10-02,2014-10-04,2022-05-24
INTE1828404A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,2018-05-31,2018-05-31,2018-10-22,2018-11-03,2022-05-24
INTE9900627A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTX9210277A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,1991-01-01,1991-12-31,1992-07-31,1992-08-18,2022-05-20
INTX9210277A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
IOME2332866A,59634,Wallon-cappel,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-29,2023-12-11,
IOME2333648A,59634,Wallon-cappel,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE9900627A,59635,Wambaix,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1616446A,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE9500304A,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,1995-01-17,1995-01-31,1995-07-18,1995-08-03,2022-05-20
INTE9900488A,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,1999-08-14,1999-08-14,1999-11-29,1999-12-04,2022-05-23
INTE9900627A,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
NOR19831005,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,1983-06-21,1983-06-26,1983-10-05,1983-10-08,2022-05-20
NOR19850111,59636,Wambrechies,54.0,Inondations et/ou coulées de boue,1984-10-24,1984-10-25,1985-01-11,1985-01-26,2022-05-20
INTE9200181A,59637,Wandignies-hamage,54.0,Inondations et/ou coulées de boue,1991-07-06,1991-07-08,1992-04-01,1992-04-03,2022-05-20
INTE9400127A,59637,Wandignies-hamage,54.0,Inondations et/ou coulées de boue,1993-12-17,1994-01-02,1994-03-08,1994-03-24,2022-05-20
INTE9900627A,59637,Wandignies-hamage,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE1616446A,59638,Wannehain,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE9900627A,59638,Wannehain,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
INTE0200208A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-27,2002-04-30,2002-05-05,2022-05-24
INTE0200389A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,2002-02-12,2002-02-13,2002-08-01,2002-08-22,2022-05-24
INTE9400065A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,1993-12-17,1994-01-02,1994-02-02,1994-02-18,2022-05-20
INTE9500497A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,1995-07-02,1995-07-02,1995-09-28,1995-10-15,2022-05-20
INTE9900627A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,1999-12-25,1999-12-29,1999-12-29,1999-12-30,2022-05-24
IOCE0768747A,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,2007-06-07,2007-06-07,2007-10-18,2007-10-25,2022-05-24
NOR19851002,59639,Wargnies-le-grand,54.0,Inondations et/ou coulées de boue,1985-06-04,1985-06-06,1985-10-02,1985-10-18,2022-05-20
INTE0200208A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-27,2002-04-30,2002-05-05,2022-05-24
INTE0500697A,59640,Wargnies-le-petit,54.0,Inondations et/ou coulées de boue,2005-06-29,2005-07-01,2005-10-06,2005-10-14,2022-05-24
