cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9400331A,59054,Bavinchove,59.0,Sécheresse,1992-01-01,1992-12-31,1994-06-30,1994-07-09,2022-05-20
INTE9400642A,59054,Bavinchove,59.0,Sécheresse,1993-01-01,1993-09-30,1995-01-12,1995-01-31,2022-05-20
INTE9700395A,59054,Bavinchove,59.0,Sécheresse,1993-10-01,1996-12-31,1997-09-19,1997-10-11,2022-05-20
IOME2308745A,59054,Bavinchove,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE9100177A,59063,Beauvois-en-cambrésis,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9800135A,59063,Beauvois-en-cambrésis,59.0,Sécheresse,1991-01-01,1997-07-31,1998-04-09,1998-04-23,2022-05-20
INTE1824834A,59064,Bellaing,59.0,Sécheresse,2017-07-01,2017-12-31,2018-09-18,2018-10-20,2022-05-24
INTE1824834A,59065,Bellignies,59.0,Sécheresse,2017-01-01,2017-12-31,2018-09-18,2018-10-20,2022-05-24
INTE9600522A,59065,Bellignies,59.0,Sécheresse,1989-05-01,1995-12-31,1996-12-09,1996-12-20,2022-05-20
IOME2308745A,59065,Bellignies,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE9000100A,59067,Bergues,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9100177A,59067,Bergues,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9600301A,59067,Bergues,59.0,Sécheresse,1992-01-01,1995-09-30,1996-07-17,1996-09-04,2022-05-20
INTX9210277A,59067,Bergues,59.0,Sécheresse,1991-01-01,1991-12-31,1992-07-31,1992-08-18,2022-05-20
IOCE1032143A,59067,Bergues,59.0,Sécheresse,2009-07-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2324730A,59067,Bergues,59.0,Sécheresse,2022-06-30,2022-09-29,2023-09-18,2023-10-19,
INTE1920338A,59068,Berlaimont,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
INTE2112080A,59071,Bersée,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
INTE9800135A,59071,Bersée,59.0,Sécheresse,1995-01-01,1997-07-31,1998-04-09,1998-04-23,2022-05-20
IOME2308745A,59071,Bersée,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1311772A,59073,Berthen,59.0,Sécheresse,2011-04-08,2011-06-30,2013-05-21,2013-05-25,2022-05-24
INTE9100354A,59073,Berthen,59.0,Sécheresse,1990-01-01,1990-12-31,1991-08-12,1991-08-30,2022-05-20
INTE9700484A,59073,Berthen,59.0,Sécheresse,1991-01-01,1997-04-30,1997-11-03,1997-11-16,2022-05-20
